Name,ExternalId,Test Type,Date,Time,BW [KG],Reps,Tags,Additional Load [lb],Jump Height (Imp-Mom) in Inches [in] ,RSI-modified (Imp-Mom) [m/s] ,Eccentric Peak Force [N] ,Eccentric Peak Power / BM [W/kg] ,Eccentric Duration [ms] ,Concentric Peak Force [N] ,Concentric Peak Force / BM [N/kg] ,Concentric Duration [ms] 
1,,CMJ,03/21/2024,3:20 PM,75.45,3,,0,10.7,0.37,1861,22.3,467,1840,24.4,270
2,,CMJ,03/21/2024,3:18 PM,70.02,3,,0,8.2,0.23,1372,14.4,553,1372,19.6,345
3,,CMJ,03/21/2024,3:18 PM,64.32,3,,0,11.6,0.4,1441,21.1,468,1435,22.3,269
4,,CMJ,03/21/2024,3:16 PM,62.23,3,,0,13.1,0.32,1175,8.5,728,1289,20.7,318
5,,CMJ,03/21/2024,3:15 PM,80.35,3,,0,12.8,0.38,1461,14.5,541,1704,21.2,321
6,,CMJ,03/21/2024,3:14 PM,58.57,3,,0,15.6,0.56,1463,28.5,438,1458,24.9,272
7,,CMJ,03/21/2024,3:14 PM,58.74,3,,0,10.0,0.34,1307,17.3,463,1297,22.1,288
8,,CMJ,03/21/2024,3:14 PM,71.24,3,,0,13.7,0.47,1773,19.4,482,1772,24.9,263
9,,CMJ,03/21/2024,3:13 PM,65.8,3,,0,8.9,0.21,1165,10.7,724,1261,19.2,397
10,,CMJ,03/21/2024,1:21 PM,58.53,3,,0,11.1,0.35,1236,21.9,443,1214,20.7,348
11,,CMJ,03/21/2024,1:20 PM,96.71,3,,0,17.6,0.58,2378,23.5,495,2396,24.8,280
12,,CMJ,03/21/2024,1:19 PM,85.43,3,,0,17.4,0.61,2139,21.1,462,2139,25.0,260
13,,CMJ,03/21/2024,1:18 PM,62.8,3,,0,9.8,0.29,1249,17.7,513,1249,19.9,353
14,,CMJ,03/21/2024,1:16 PM,61.81,3,,0,7.3,0.23,1160,11.6,492,1201,19.4,305
1,,CMJ,03/07/2024,1:13 PM,76.27,3,,0,11.1,0.42,2041,26.7,408,1989,26.1,263
10,,CMJ,03/07/2024,1:12 PM,57.87,3,,0,10.7,0.38,1229,22.5,411,1203,20.8,314
15,,CMJ,03/07/2024,1:11 PM,58.26,3,,0,14.9,0.6,1642,27.4,397,1635,28.1,234
3,,CMJ,03/07/2024,1:09 PM,64.32,3,,0,12.6,0.46,1561,22.8,444,1559,24.2,256
2,,CMJ,02/22/2024,3:19 PM,69.27,3,,0,8.6,0.25,1462,18.1,516,1447,20.9,342
16,,CMJ,02/22/2024,3:18 PM,88.58,3,,0,19.0,0.65,2396,26.3,481,2396,27.1,257
17,,CMJ,02/22/2024,3:16 PM,66.32,3,,0,11.7,0.37,1485,23.3,494,1474,22.2,316
18,,CMJ,02/22/2024,3:15 PM,90.72,3,,0,16.9,0.61,2153,29.0,421,2159,23.8,283
15,,CMJ,02/22/2024,3:15 PM,58.48,3,,0,16.4,0.65,1709,28.3,411,1687,28.9,235
19,,CMJ,02/22/2024,3:14 PM,79.0,4,,0,15.2,0.55,1947,28.9,405,1923,24.3,292
10,,CMJ,02/22/2024,1:22 PM,57.56,3,,0,11.4,0.39,1273,30.1,416,1248,21.7,319
11,,CMJ,02/22/2024,1:21 PM,95.66,3,,0,17.8,0.64,2538,26.8,447,2481,25.9,266
3,,CMJ,02/22/2024,1:19 PM,64.27,3,,0,13.3,0.46,1592,25.0,472,1562,24.3,271
13,,CMJ,02/22/2024,1:19 PM,63.04,3,,0,10.2,0.31,1351,19.1,501,1339,21.2,337
15,,CMJ,02/15/2024,3:27 PM,59.52,3,,0,14.8,0.52,1504,20.7,471,1502,25.2,254
18,,CMJ,02/15/2024,3:21 PM,91.35,3,,0,16.5,0.59,2130,26.5,428,2163,23.7,285
